"Replicate","Camel","Cow","Sheep","Goat"
1,14.042524936418987,6.8306085246380315,3.0391011765165024,2.0496502006114072
2,17.1372419378591,6.165552341457828,2.973345144688848,1.962857541022217
3,17.65683328195525,5.375342335392787,2.5060475450139603,2.1917112125463074
4,16.19591088663892,7.975815137151825,2.9241253230998225,1.8064093498018563
5,17.068686998417995,6.184904849683817,3.218891070799801,1.28247546611563
6,17.563748300551485,5.8417601273281585,3.3502207180203096,2.1056343912269844
7,14.98585290677654,5.65220634421189,3.202716099085043,1.7663792920139956
8,15.096843684973509,5.406805838464931,3.226932817865785,2.052651281994829
9,15.427557051736532,7.449750502926288,2.5521997349677914,2.6067447043905982
10,18.476264146483864,6.586179879414833,2.568563156172199,1.455463385466841
11,14.525137614953945,6.518882538032782,2.7030774834442775,2.0988468952225516
12,15.165655339447312,7.4902741185616115,3.3770014739728325,1.9943597632338113
13,15.737996595879528,5.806226396210951,3.3613504695092242,1.9574979527385286
14,16.816894161511065,6.843500893527494,2.866983612069281,2.2135967849267884
15,15.110441351945711,4.5187528729311675,3.114512161610977,2.0372434716783063
16,15.435448599031991,4.775808311501404,3.312578872554946,1.590875679126601
17,21.69613926545089,5.859659060472947,3.4090811870491615,1.5049521668385413
18,15.497800659508634,4.969174243997113,2.985577023817405,2.061105888419846
19,19.12739962816827,6.462057590192299,2.55167903745031,2.363568489531388
20,12.66003928156055,5.873887187940187,2.512383852242297,1.774898419274772
21,18.803374619142062,6.007110679077023,3.4492911475640318,1.9451457490498174
22,14.67448240965188,6.203999729028688,2.433042031488534,2.3760054272947966
23,10.898119009102205,6.384760101425552,3.3784269665475053,2.1106901666012607
24,13.034709408905401,7.138798655895057,2.478583299097645,1.9247578563822254
25,13.932436276754668,7.30012391314547,3.5813202150479424,1.5714370795371473
26,16.39638708128723,5.5851551217865785,3.795464093769741,2.2623365054247433
27,18.13720448342673,6.872662068383529,2.9773440980999104,1.4893607219209515
28,16.925483012495818,6.723497221082477,3.2678898343287335,1.742065773258579
29,19.03557356596197,5.2964276691462855,2.0353575698779944,2.151811616934163
30,19.265057083314662,7.988712690571724,3.008029225718984,2.030930689705221
31,19.106101645067344,6.917006337851387,3.2531645780347214,2.5100126183632625
32,18.986812932837218,6.865763326843198,2.8708318302206766,2.296441998526888
33,17.81316598510547,7.773925517272273,3.951364832155435,1.6168367740145593
34,16.23950264190228,5.774696189640453,2.6244369175880036,2.142245057241109
35,15.595004444533984,5.5209395876659,3.10198605116814,1.7699812202067848
36,20.216707625730745,5.51155259820099,3.1592581554824792,2.1985437920323205
37,20.857729874493646,5.1006864539499235,3.594083852594377,2.8264959909285876
38,18.266509778606938,4.536239880961034,3.4494042391397013,1.9580710466888944
39,16.379233573227403,7.7999416531112455,3.3933054140164853,2.422528012605718
40,15.569386983842515,6.166988952980087,2.9021913581843695,1.9087327388972168
41,15.062610345805908,6.121080364909025,2.8744358233034424,1.081116794141114
42,15.307200128730777,4.79005741343395,2.8588818889509806,2.252787120601985
43,20.118108331405487,6.512097603680908,2.8275292830190693,1.581953177184945
44,17.672826714407787,5.525648958674147,3.04151625491982,1.7746440806516122
45,15.1330355373216,7.671128563220718,3.173222501700981,1.867637394070968
46,16.43541458251697,6.444476938091912,3.368998066829161,1.622572169471031
47,16.881500218954116,5.470817866139658,3.4141374042427834,1.3259934198458452
48,16.028018112736877,6.842224750699197,3.117278898347227,1.9572400594279376
49,16.32644687542482,6.571143930022222,3.28024085583152,1.9901272292952834
50,16.813770727822586,6.853921219216841,2.6672479053903757,1.8471043849310833
51,20.316276495370445,5.307757006574684,2.775031194953536,1.7626158161578345
52,14.239217979776594,6.099089912805401,2.7495969148383215,1.742559175234981
53,16.180976379244044,7.344483028143735,2.788562549658151,1.445133880022787
54,17.14672250547397,7.274358105134454,2.5985867433201553,1.5916437524840048
55,15.236238058591315,6.477111806681297,2.687056549990282,2.0539144300462326
56,13.492574006700053,7.9380728949432,3.3105687926679406,1.978407947041912
57,19.371398300831153,7.07926523409588,3.407716335950094,1.8152944929817452
58,12.134917368738826,3.8020540622192516,2.895045753602878,1.887607228025475
59,18.489408143607623,7.955135417096303,2.835576784822312,1.9405679225148342
60,13.413915357340477,6.669525881656743,2.7453951540960437,2.0083519451257996
61,16.197009666200366,5.5437571542803425,4.06221176402688,2.11140005163537
62,16.261604408930477,6.462159840440013,2.9297746617310083,2.508656725587887
63,16.771340420506252,7.304423905596516,3.224824436789389,1.8637320328996037
64,16.06348213075872,4.818642185013043,3.1784091271887913,2.1446264715214935
65,14.889032017723999,5.369372635100681,3.843120190984421,2.272975410270192
66,16.386853650632027,6.249760575674157,2.700467243469771,2.1802163712364666
67,17.365461970788196,6.849558574377506,2.7259267099443973,2.131921601743924
68,19.271176558803855,5.71048616770475,3.075417814537379,1.4990899284246493
69,13.024941239420983,6.512201993914341,2.866781674899223,1.8452227287520568
70,11.67039496012332,5.659664109240675,2.96352547922165,2.0009107591592015
71,13.60015993278587,7.003345045082117,3.6613383760333935,1.9035152799551656
72,17.337350603722,5.4338056563731305,2.4042180896028222,2.180890368103233
73,18.338001479918518,4.9748000283339415,3.2848869790219055,1.900559546418535
74,14.58107348044759,6.5624163933424935,2.925172593769344,2.0680479937027205
75,17.465427457931284,6.120306638815027,2.8773405736226176,2.2033103132002876
76,12.418207188135822,4.933581096912759,2.779266300655602,1.9267994069930325
77,17.496957012077626,6.685061279699973,2.4878209265163083,2.04778931340266
78,11.601733941778221,5.209662812495373,3.054291286162842,2.5068396362222254
79,16.085422671855518,6.515079741457406,2.9301706842291835,2.8755034580187315
80,15.27274354233981,6.764870986739373,3.0274610293644977,2.247621289038618
81,15.157875244075495,4.796215408880839,2.785541353218341,2.006289344404321
82,15.232176737184249,6.802014529885605,3.594162963459996,2.4301795684983087
83,14.62780037470918,5.274247681368569,3.9423189064465394,2.0452013964129567
84,18.35901802893467,6.0447442716931326,2.5220202691259384,2.345527627163448
85,18.214433547643527,8.313564701847893,4.01714276037918,2.050200569790834
86,15.282030307422984,5.955995917847162,3.446058164600013,2.402760862814038
87,16.064582537296573,5.8089661606344976,3.0696415131890005,2.226934483797049
88,17.434043526644558,7.108684083546956,3.089641341663064,1.251615903087576
89,13.667852632215146,6.413267383772264,3.22100167794891,1.9166585064027748
90,20.863065921548397,5.793437188028962,3.098608054477119,2.274907133310343
91,10.575107761694188,5.591183299328318,2.770580939031632,1.5587115109652099
92,16.31803026731983,5.86257577114899,2.902527704225472,2.333945160368027
93,13.058958417478493,6.441421048567038,2.9754322181028248,1.6072783479656838
94,12.662461210782103,6.700176932199289,2.422165369787176,2.143315812366871
95,17.961662895176715,7.290282383723802,2.9366332456778497,2.503124069577112
96,14.430650137924813,6.93257000877033,3.1238276334965063,2.096576111527132
97,17.1572972583441,5.672339219431194,3.3711450553491136,2.4320102280394353
98,14.647430415648946,6.007407121269753,2.5834670900717835,1.5062964726761647
99,14.597807889871863,7.144952969525317,2.6610733376820974,2.0252481458038827
100,18.635316310929653,6.75806716289572,3.299595856936884,2.2559299998463054
101,18.031237694386554,7.892999184210883,3.726020022428787,1.556981263972501
102,10.811753326400481,6.993540309070802,2.3730049589145015,2.2638434136937216
103,17.357692509134676,5.326254328837736,3.2494166407631737,2.123737416100893
104,15.772886607584809,5.6918758604889605,2.117102771365563,1.5875627254644673
105,14.82414131693376,3.7289344695569353,2.9937532338749246,2.2133554184605493
106,17.067232269460256,4.9677820031310365,3.4387245128056,1.7817450560956993
107,14.239585352825944,6.080642432722557,2.8213728975671923,1.998577807869112
108,18.633934111190133,6.017713947046416,2.296908363959706,1.4586290873408918
109,15.227785428156924,6.236835972581151,2.955391381941563,1.7791085363652694
110,17.13372526445741,6.012501368871229,2.730388102600509,2.337410169634965
111,19.75229789738404,7.249641452308493,2.4740475998498326,1.6711476452213767
112,20.98262657626921,5.694434022794434,3.453600322438728,1.970006982894493
113,16.788848083244,4.2350821600576385,3.8107614967550982,1.8493912416344367
114,14.972949694718189,6.067687859710502,2.5678277772470497,1.7890421639033538
115,18.047974058510626,5.432773445660956,2.9271222157083248,2.3192214329085448
116,17.270901675351194,6.200395013030943,3.0080561566515875,2.1351504694608248
117,10.896824200893473,6.7488537819937,2.8705073669906356,1.6870581604524697
118,17.33053089882608,5.218236586027636,2.842449718026333,2.050949265903418
119,11.009959750266205,6.223113633077943,2.6597643228570456,2.38924929238818
120,13.279814814199781,4.4781812807999986,2.7658033687150003,1.9265421037697195
121,13.410446282056391,6.613127216652436,3.3666256967275467,1.8296590018052203
122,13.705471996265064,7.043102065415295,2.681571171624508,1.4484024646070495
123,14.086912659545016,6.928836168691465,2.133493860058567,2.0411385315169115
124,22.309281897061297,4.765762916017508,2.9404942945011157,1.5045534250656514
125,17.82015102140219,5.829051566815568,2.7105572196401377,2.196836674607463
126,16.750916666434858,5.467336898538829,2.603885317844416,2.1876420371924756
127,17.926493920530834,5.90887949409712,3.3861944109490634,1.8106766549594415
128,15.469580786959453,6.439619376559136,3.5016357826446973,2.0043961914675243
129,12.474903712133104,5.963906635165534,2.324325377915792,1.6316323624178164
130,12.419090101408173,6.384368172539858,2.666114005250847,1.9516245597925026
131,17.52575333123657,5.89726398592947,3.485809779131493,2.288810742081778
132,18.49484347747464,7.355561848598718,2.0336325513134312,1.9256135664535787
133,16.692968326048852,4.721278263855996,2.8094799199163414,1.960168446709483
134,14.762432001898118,6.803965209275863,3.6257414680072646,1.9588220847603974
135,11.212941475665955,6.950781072125033,2.51986914502996,1.0505646574683216
136,15.14747250697802,6.931285917652115,3.336569718061705,2.325924521454729
137,22.233676892330994,5.99145229463113,3.8257523148270716,2.271578800540282
138,17.689585027260826,5.935496739470045,2.0134590809345756,2.132559165104235
139,14.597254179943546,4.658558753057745,3.222296757519629,2.3653822399652
140,11.781489479022694,6.73862954225779,3.3077385761949865,1.9828813860345202
141,18.210576772299756,5.243929461149392,2.475645351623702,2.2201198735406984
142,15.428578425170326,4.523686633788702,3.1221120787120347,1.7668645167330252
143,15.74589549543745,5.540159953716022,2.873886001723624,2.084722204953309
144,20.377493258653974,5.621689648339471,2.4802544790221024,2.573284029055799
145,12.890498966276095,5.773168238140064,1.8672956578299884,1.8636104997480138
146,17.858867393212574,4.713417061780224,2.8839124440839217,1.9968642339450569
147,15.291334234716274,5.905592158786234,2.5541759827840123,1.582695811553638
148,15.15052461933497,5.165015218303152,2.713653262621568,2.463419366886772
149,18.11393832856816,5.964421612719613,3.1223515945991043,1.9501952940644376
150,23.106477435803487,5.8530168687839526,3.0686346396382578,2.6850803781759245
151,15.197713278476927,7.461881381523717,3.4688423815007496,1.8326829290410829
152,13.885810841960302,6.682326716415462,3.1002746222476505,1.7746537675543521
153,17.87210962120986,4.70991640210757,3.1508847461850378,2.1699120931779805
154,13.481506708673695,6.080069784939043,2.2847130111592864,1.8986728260712473
155,15.537155336752562,7.037152643883607,3.386362888395935,2.038093586576495
156,21.05692015800963,5.8980094856616265,2.9226130467084745,1.9716170780137046
157,17.168123737652515,5.987051603322857,3.3858814002415034,2.147362663352781
158,17.380535167622252,6.505979922731259,3.24532655425921,2.5584668729720796
159,12.857010758036964,5.183042988174335,3.9535189400947317,1.9357563046694444
160,13.379251618674905,5.071849202120401,2.5415841267175856,2.0286919017808374
161,16.197114056488697,6.496376579214583,2.879815184502915,1.9944218094987392
162,13.017630887168563,5.432868165691454,3.264666491133033,2.0855701563307067
163,15.6504271294344,4.813285888598154,2.1511130932836604,2.223354437371265
164,13.165510141642928,5.387274006945898,3.1769367282977443,1.9478216911232014
165,12.969889509640383,4.954925125210172,2.5227058153017716,2.4794441307680044
166,16.116210463265748,4.742430802288579,3.348029544406437,2.4141784681464458
167,14.47826839811292,6.1533312469182615,3.2006838532549122,1.9752196087163125
168,17.153800712707074,6.12768928839582,2.1165137512763987,2.2384204801726657
169,14.014001151499748,5.924127444484219,2.5980917353399122,2.171966079797618
170,16.06922011414688,7.015059572934456,3.688590975555903,1.8503170188536489
171,19.694992592865223,6.612565293066071,3.3436474428990963,2.0565145476562696
172,15.876516679952672,6.288248704407605,3.5175930995715743,1.9625645996682135
173,16.6651952378545,5.742535458590557,2.9150998139659294,1.6270666705872419
174,21.838254793273144,4.960545911289479,2.726000155997207,2.5369821002429496
175,14.793813672190694,6.801546721147549,3.059178233448405,1.6251973807616562
176,21.040490529494424,4.291071884624525,3.2659670521621162,1.7044223335625146
177,12.487527501970579,6.0520423817400495,3.1629114474294506,1.8764837158820988
178,14.447897565772557,5.976546713093087,3.1465483692444303,1.9624980041864313
179,14.86740458538844,5.208195034271338,3.6218075270431678,1.9314174385219003
180,16.308359344677662,6.455879818251897,2.72949429638133,1.9243179483412831
181,13.604075431540004,6.441943870265941,2.417151866119897,1.8975047105925897
182,16.086575128317715,5.0383370381210195,3.3023934215027917,2.0118673259505857
183,14.303267729883693,6.6353202360791705,2.694802878146736,2.021144646941537
184,13.700431843147106,5.84150351725752,3.5989953075016787,2.232247812759917
185,21.40647972132334,4.996257983475102,2.8225795023666307,1.4491058761290794
186,15.15677576344535,5.668300652008338,2.74112845522937,1.8515264965859983
187,14.865314002617225,5.391330779528957,3.334609928006699,1.8094345960388396
188,14.850155565491242,5.202090323442001,2.7679584865214997,1.7660374450753675
189,14.60229999093809,6.64917015039504,3.1511409064978775,1.8388786234438186
190,14.15001229166593,7.0577427066280976,2.9131786091489618,2.6838896547235223
